0,-11.5315,9.82815,281.549,137.09,536.451,262.388,-49.88,11.28,4.66
1,-10.609,6.0841,284.615,133.82,539.142,260.539,-81.88,6.28,-4.34
2,-9.68649,28.5484,284.615,136.27,538.224,261.436,-115.88,-51.72,-51.34
3,-13.3766,21.0603,271.329,142.146,536.346,258.228,-170.88,-93.72,-18.34
4,-9.68649,7.02011,285.637,135.529,540.862,257.507,147.12,9.28,22.66
5,-10.609,20.1243,273.373,132.189,538.287,260.594,596.12,-4.72,-87.34
6,-11.5315,21.0603,283.593,132.111,537.422,263.571,394.12,26.28,-11.34
7,-9.68649,12.6362,281.549,128.764,539.247,264.699,76.12,36.28,21.66
8,-10.609,16.3803,278.483,132.998,539.155,260.57,42.12,-22.72,7.66
9,-10.609,18.2523,279.505,131.312,541.83,260.648,12.12,-37.72,1.66
10,-28.1369,-26.6764,288.703,133.861,536.495,260.522,-42.88,-34.72,398.66
11,-11.5315,16.3803,283.593,133.08,533.861,260.535,32.12,-17.72,67.66
12,-13.3766,13.5722,281.549,135.462,537.355,261.461,14.12,-32.72,45.66
13,-5.9964,15.4442,272.351,134.629,540.01,260.514,96.12,-14.72,12.66
14,-14.2991,21.0603,271.329,132.281,538.27,257.612,166.12,-47.72,-79.34
15,-9.68649,16.3803,280.527,129.753,538.322,259.692,196.12,11.28,28.66
16,-11.5315,14.5082,284.615,139.495,536.422,264.285,-123.88,53.28,-1.34
17,-7.84144,14.5082,275.417,133.069,536.503,259.558,-46.88,-7.72,-23.34
18,-7.84144,14.5082,275.417,132.128,538.298,262.583,-197.88,18.28,-31.34
19,-10.609,8.89214,286.659,140.332,535.526,264.248,-777.88,107.28,-82.34
20,-12.4541,12.6362,303.01,137.888,539.961,261.386,291.12,-44.72,20.66
21,-10.609,13.5722,271.329,137.171,539.075,258.428,-73.88,13.28,-7.34
22,-12.4541,10.7642,284.615,135.445,536.479,262.449,2.12,1.28,-3.34
23,-13.3766,12.6362,280.527,137.823,538.214,264.357,-29.88,7.28,-5.34
24,-12.4541,9.82815,281.549,138.721,537.306,262.333,-28.88,6.28,-8.34
25,-13.3766,8.89214,280.527,142.105,538.993,258.245,-111.88,19.28,-30.34
26,-12.4541,12.6362,279.505,134.704,539.117,258.52,96.12,-16.72,-65.34
27,-14.2991,29.4845,273.373,139.601,535.522,261.296,38.12,72.28,235.66
28,-10.609,7.02011,288.703,138.789,532.895,262.304,-137.88,31.28,276.66
29,-16.1441,-15.4442,285.637,149.51,532.711,260.913,47.12,45.28,67.66
30,-9.68649,10.7642,282.571,144.498,531.928,264.073,36.12,20.28,53.66
31,-12.4541,9.82815,282.571,146.863,534.545,265.987,104.12,-7.72,23.66
32,-10.609,91.2614,254.978,146.962,530.128,264.964,184.12,-60.72,299.66
33,-12.4541,-0.468007,281.549,146.968,533.646,262.998,40.12,-8.72,19.66
34,-11.5315,8.89214,283.593,149.518,528.311,262.872,203.12,-67.72,-26.34
35,-20.7568,21.9963,277.461,142.823,531.961,265.128,107.12,-13.72,13.66
36,-11.5315,14.5082,281.549,144.484,532.81,264.079,72.12,-26.72,1.66
37,-1.38378,31.3565,272.351,143.632,532.829,265.103,174.12,-117.72,45.66
38,-19.8342,11.7002,280.527,146.996,531.881,262.987,-44.88,-52.72,20.66
39,3.22883,76.2852,282.571,155.441,527.304,257.682,-404.88,-13.72,447.66
40,-15.2216,4.21207,279.505,157.109,531.671,254.667,-383.88,-40.72,219.66
41,-9.68649,-21.0603,296.878,157.931,531.657,254.636,-241.88,1.28,193.66
42,-7.84144,16.3803,277.461,171.263,526.127,251.13,-399.88,80.28,338.66
43,-5.9964,21.0603,285.637,174.474,525.207,253.985,-259.88,-33.72,188.66
44,-21.6793,-7.02011,282.571,180.367,524.206,249.788,-469.88,5.28,322.66
45,-7.84144,-1.40402,280.527,179.595,526.85,246.853,-128.88,-174.72,4.66
46,-13.3766,13.5722,270.307,188.74,522.282,245.495,-176.88,0.279999,208.66
47,-9.68649,5.14808,279.505,182.031,526.814,247.756,-30.88,2.28,3.66
48,-8.76396,0.468007,281.549,185.287,525.006,249.611,-12.88,-13.72,4.66
49,-8.76396,2.34004,281.549,183.898,522.347,242.695,-3.88,-11.72,-3.34
